2386f708-a5bf-45ae-bf29-e849e88de953,,10,1,4,5,16,2014-11-25 04:03:36,I,L,B,2015-02-06 05:27:25
93b181c3-08e6-48f9-8c38-3e2505904866,02cc4fba-8e65-4287-8f02-9d89ca4bd65d,12,1,14,20,22,2014-11-27 04:03:36,I,L,S,2015-02-06 05:27:25
ab45cfe7-2835-4639-8a0f-377089f4a661,86c764a3-c1c3-4fac-bd07-2c2fd94e5473,15,1,71,100,19,2014-11-30 04:03:36,I,L,S,2015-02-06 05:27:25
3eae4a72-399b-4025-86eb-cf9a716c61d6,690e73ce-9f2c-4827-b75b-ce86cf30f2cd,23,1,100,100,,2014-12-08 04:03:36,P,M,S,2014-12-08 04:03:36
b9082593-b1c1-4c6c-8af7-872065198d44,80fdb920-6a50-4fe4-b2cf-ead4d87eed6e,22,1,10,10,50,2014-12-07 04:03:36,P,L,S,2014-12-07 04:03:36
5e047bf8-2354-4df5-832d-046d16858710,e5df4e48-1703-4dfb-9c78-9b4f49dd91e6,20,1,20,20,20,2014-12-05 04:03:36,P,L,S,2014-12-05 04:03:36
b9061643-116c-43aa-9e02-ade13d945389,dd7464ab-831a-4339-8f8c-96f297ab19b4,19,1,16,16,19.99,2014-12-04 04:03:36,P,L,S,2014-12-04 04:03:36
c47b3be6-fc2d-42ef-a905-f61974912a20,1a6480d4-0f7a-442a-a0df-0397f27dd598,18,1,25,25,,2014-12-03 04:03:36,P,M,S,2014-12-03 04:03:36
cdb7f9bb-cb60-4a0f-ad7e-835ac3299422,7b12af0a-94e8-400f-8a53-01d9dadb08f2,17,1,50,50,,2014-12-02 04:03:36,P,M,S,2014-12-02 04:03:36
3e4ea633-1fcd-40b5-910b-b7725dcd6edd,5b1201be-e497-46f7-82dd-afcab65595ad,16,1,60,60,21,2014-12-01 04:03:36,P,L,S,2014-12-01 04:03:36
ef3b6c46-b753-42e3-881e-cc64e560561a,,2,1,20,20,10,2014-11-17 04:03:36,P,L,B,2014-11-17 04:03:36
