1,10000072.19,131.00,46.00
8,912398193.06,695.00,21.00
9,864508674.80,878.00,57.00
10,162107019.80,607.00,8.00
11,122241291.38,151.00,29.00
12,561343483.52,999.00,86.00
13,167319513.14,444.00,71.00
14,35769436.91,523.00,25.00
15,271863282.28,187.00,89.00
16,915977962.40,376.00,30.00
17,768197214.97,656.00,48.00
63,647059662.15,981.00,10.00
97,271921879.47,124.00,70.00
135,730687576.20,580.00,41.00
174,619763508.10,71.00,4.00
176,660033458.78,522.00,33.00
245,101595583.68,408.00,71.00
246,392111687.99,191.00,25.00
272,253090204.28,968.00,36.00
319,889071163.02,180.00,42.00
332,487271491.27,654.00,55.00
339,83267325.25,287.00,63.00
351,437516578.40,795.00,79.00
421,327388442.34,72.00,91.00
445,837559282.78,595.00,83.00
486,422551598.01,106.00,97.00
495,26672015.91,51.00,33.00
546,19442720.82,994.00,63.00
547,391943549.69,361.00,98.00
571,608488204.24,673.00,75.00
611,694451772.26,605.00,58.00
670,833104501.90,44.00,61.00
690,446711361.44,718.00,69.00
691,847556853.22,41.00,73.00
742,794607650.30,866.00,54.00
749,472785266.80,569.00,31.00
762,552875427.88,716.00,74.00
815,229588619.23,248.00,71.00
819,136914018.86,642.00,95.00
838,884070739.24,559.00,65.00
869,975589440.80,876.00,40.00
940,82915143.29,217.00,78.00
967,921531323.90,95.00,17.00
977,904450274.10,31.00,46.00
991,48581723.43,175.00,67.00
993,606408713.70,830.00,83.00
1035,474575251.20,837.00,18.00
1039,794102584.10,929.00,96.00
1144,974104345.40,148.00,47.00
1163,328773053.40,362.00,44.00
1198,92056075.41,857.00,71.00
1212,269937073.20,270.00,77.00
1222,855236444.30,67.00,8.00
1225,111036097.50,941.00,62.00
1341,669080803.50,485.00,90.00
1377,164374854.20,424.00,57.00
1379,242741185.90,176.00,76.00
1389,150631303.30,889.00,14.00
1394,653766505.40,837.00,78.00
1433,633633684.50,789.00,28.00
1436,72170520.97,796.00,3.00
1449,142689262.20,469.00,71.00
1501,977585925.90,990.00,36.00
1517,302712706.60,953.00,55.00
1527,80826941.28,343.00,88.00
1546,849795136.10,339.00,10.00
1570,971182956.60,821.00,72.00
1588,190327882.80,177.00,26.00
1619,569675056.70,33.00,26.00
1714,398312345.10,191.00,47.00
1761,640260706.80,236.00,8.00
1834,286083011.70,127.00,90.00
1845,483450331.50,401.00,6.00
1885,951005207.00,306.00,92.00
1916,119560649.20,958.00,30.00
1967,675874151.90,327.00,3.00
1990,455232023.40,55.00,55.00
2055,70556347.09,141.00,23.00
2061,686428172.90,13.00,38.00
2065,670286646.50,1.00,27.00
2120,190964267.20,247.00,54.00
2170,35062384.47,142.00,17.00
2268,310397959.60,343.00,93.00
2321,730831045.00,526.00,53.00
2381,628514261.30,868.00,92.00
2435,620467303.60,709.00,94.00
2460,120847806.40,343.00,68.00
2492,711131878.10,964.00,41.00
2538,67517230.53,121.00,100.00
2555,465275852.50,222.00,64.00
2575,450215830.40,480.00,46.00
2698,302432474.40,813.00,42.00
2720,644971995.40,772.00,4.00
2744,377924396.80,481.00,91.00
2757,397163311.40,393.00,59.00
2768,205880994.00,7.00,6.00
2771,933314243.00,291.00,40.00
2879,76098725.83,929.00,97.00
2881,363125179.20,315.00,20.00
2891,585954696.30,601.00,80.00
10002,0.00,0.00,0.00
10004,0.00,0.00,0.00
10005,0.00,0.00,0.00
10006,0.00,0.00,0.00
10007,0.00,0.00,0.00
10008,0.00,0.00,0.00
10009,0.00,0.00,0.00
10011,0.00,0.00,0.00
10012,0.00,0.00,0.00
10013,0.00,0.00,0.00
10014,0.00,0.00,0.00
10015,0.00,0.00,0.00
10016,0.00,0.00,0.00
10017,0.00,0.00,0.00
10018,0.00,0.00,0.00
10019,0.00,0.00,0.00
10020,0.00,0.00,0.00
10021,0.00,0.00,0.00
10022,0.00,0.00,0.00
10023,0.00,0.00,0.00
10024,0.00,0.00,0.00
10025,0.00,0.00,0.00
10026,0.00,0.00,0.00
10027,0.00,0.00,0.00
10028,0.00,0.00,0.00
