10102,1,90,90,0.00,P,M,B
10102,2,90,90,0.00,P,M,B
10102,3,90,90,0.00,P,M,B
10102,4,90,90,0.00,P,M,B
10102,5,90,90,0.00,P,M,B
10102,6,90,90,0.00,P,M,B
10102,7,90,90,0.00,P,M,B
10102,8,90,90,0.00,P,M,B
10102,9,90,90,0.00,P,M,B
10102,10,90,90,0.00,P,M,B
10102,11,90,90,0.00,P,M,B
10155,1,90,90,0.00,P,M,B
10155,2,90,90,0.00,P,M,B
10155,3,90,90,0.00,P,M,B
10155,4,90,90,0.00,P,M,B
10155,5,90,90,0.00,P,M,B
10155,6,90,90,0.00,P,M,B
10155,7,90,90,0.00,P,M,B
10155,8,90,90,0.00,P,M,B
10155,9,90,90,0.00,P,M,B
10155,10,90,90,0.00,P,M,B
10155,11,90,90,0.00,P,M,B
10168,1,90,90,0.00,P,M,B
10168,2,90,90,0.00,P,M,B
10168,3,90,90,0.00,P,M,B
10168,4,90,90,0.00,P,M,B
10168,5,90,90,0.00,P,M,B
10168,6,90,90,0.00,P,M,B
10168,7,90,90,0.00,P,M,B
10168,8,90,90,0.00,P,M,B
10168,9,90,90,0.00,P,M,B
10168,10,90,90,0.00,P,M,B
10168,11,90,90,0.00,P,M,B
10211,1,90,90,0.00,P,M,B
10211,2,90,90,0.00,P,M,B
10211,3,90,90,0.00,P,M,B
10211,4,90,90,0.00,P,M,B
10211,5,90,90,0.00,P,M,B
10211,6,90,90,0.00,P,M,B
10211,7,90,90,0.00,P,M,B
10211,8,90,90,0.00,P,M,B
10211,9,90,90,0.00,P,M,B
10211,10,90,90,0.00,P,M,B
10211,11,90,90,0.00,P,M,B
10232,1,90,90,0.00,P,M,B
10232,2,90,90,0.00,P,M,B
10232,3,90,90,0.00,P,M,B
10232,4,90,90,0.00,P,M,B
10232,5,90,90,0.00,P,M,B
10232,6,90,90,0.00,P,M,B
10232,7,90,90,0.00,P,M,B
10232,8,90,90,0.00,P,M,B
10232,9,90,90,0.00,P,M,B
10232,10,90,90,0.00,P,M,B
10232,11,90,90,0.00,P,M,B
