f902da6d-4327-4708-ae4b-da38afdcc2d1	100.00	10.00	1
f902da6d-4327-4708-ae4b-da38afdcc2d1	20.00	20.00	2
f902da6d-4327-4708-ae4b-da38afdcc2d1	30.00	30.00	3
f902da6d-4327-4708-ae4b-da38afdcc2d1	40.00	40.00	4
f902da6d-4327-4708-ae4b-da38afdcc2d1	50.00	50.00	5
f902da6d-4327-4708-ae4b-da38afdcc2d1	60.00	60.00	6
f902da6d-4327-4708-ae4b-da38afdcc2d1	70.00	70.00	7
f902da6d-4327-4708-ae4b-da38afdcc2d1	80.00	80.00	8
e5325ca7-29a8-49d1-af46-9c79528d123d	100.00	10.00	1
e5325ca7-29a8-49d1-af46-9c79528d123d	20.00	20.00	2
e5325ca7-29a8-49d1-af46-9c79528d123d	30.00	30.00	3
e5325ca7-29a8-49d1-af46-9c79528d123d	40.00	40.00	4
e5325ca7-29a8-49d1-af46-9c79528d123d	50.00	50.00	5
e5325ca7-29a8-49d1-af46-9c79528d123d	60.00	60.00	6
e5325ca7-29a8-49d1-af46-9c79528d123d	70.00	70.00	7
e5325ca7-29a8-49d1-af46-9c79528d123d	80.00	80.00	8			
