5	1	10	54	62069.97	9310.50	2006-08-05 00:00:00
7	1	8	60	57501.02	8625.15	2009-11-09 00:00:00
10	1	6	100	46457.35	6968.60	2008-05-13 00:00:00
11	1	9	54	16411.14	2461.67	2011-03-09 00:00:00
15	1	8	88	19529.87	2929.48	2010-03-16 00:00:00
17	1	2	97	40886.57	6132.99	2004-06-09 00:00:00
18	1	4	91	92542.63	13881.39	2010-11-13 00:00:00
20	1	6	93	14211.47	2131.72	2007-09-12 00:00:00
25	1	2	59	8625.17	1293.78	2002-09-06 00:00:00
26	1	8	77	91784.35	13767.65	2008-01-15 00:00:00
28	1	2	71	24719.41	3707.91	2005-08-18 00:00:00
30	1	4	92	64506.42	9675.96	2009-01-05 00:00:00
31	1	9	64	20442.59	3066.39	2002-07-26 00:00:00
33	1	9	57	96774.35	14516.15	2009-10-02 00:00:00
37	1	3	78	69586.96	10438.04	2010-05-15 00:00:00
44	1	7	51	60653.65	9098.05	2004-02-01 00:00:00
46	1	10	51	76712.23	11506.83	2006-11-21 00:00:00
