0189f4ea-5a2b-4f5b-be84-2954cf48b633	1	85	2013-03-16 15:57:10	2040-08-01 15:57:10	74334	297336	0000-00-00 00:00:00	3	2	0	A	2013-10-24 10:26:04	2013-10-24 10:26:04
04f7a08f-a3e3-4383-9658-03bfed3556a6	1	519	2012-07-16 23:00:00	2039-12-02 23:00:00	14958	29916	0000-00-00 00:00:00	7	15	0	A	2014-08-02 16:33:00	2014-08-02 16:33:00
077a1d47-c1d8-4591-ade9-c5f6ac265473	1	866	2012-03-27 05:22:00	2039-08-13 05:22:00	72330	216990	0000-00-00 00:00:00	2	11	0	A	2013-09-17 16:50:00	2013-09-17 16:50:00
09626cc7-5bd7-4d6f-ab12-5ad30c3a8559	1	78	2013-03-16 15:57:10	2040-08-01 15:57:10	74334	297336	0000-00-00 00:00:00	3	2	0	A	2013-10-24 10:26:04	2013-10-24 10:26:04
17186969-7d0c-4c55-8bb1-877cae146c8b	1	475	2012-09-15 23:18:00	2040-02-01 23:18:00	77139	77139	0000-00-00 00:00:00	6	1	0	R	2014-02-25 08:04:00	2014-02-25 08:04:00
1a28987d-d631-4dd0-9362-b31fc30dffb9	1	830	2012-12-11 07:44:00	2040-04-28 07:44:00	55632	55632	0000-00-00 00:00:00	2	15	0	A	2013-10-20 13:10:00	2013-10-20 13:10:00
1b5298ea-3af4-4fa2-8cfe-8ba422789087	1	131	2012-11-15 17:31:00	2040-04-02 17:31:00	64252	192756	0000-00-00 00:00:00	2	3	0	Q	2014-06-06 12:50:00	2014-06-06 12:50:00
2618fe67-3a93-4098-87dc-e3a2b589671d	1	929	2012-05-10 10:15:00	2039-09-26 10:15:00	50429	201716	0000-00-00 00:00:00	4	15	0	D	2014-08-21 04:29:00	2014-08-21 04:29:00
1f2ced4c-f916-4f41-bc9f-415840884cdd	63	890	2012-11-22 12:35:00	2040-04-09 12:35:00	35671	71342	0000-00-00 00:00:00	5	4	0	A	2014-03-02 12:17:00	2014-03-02 12:17:00
b90e48a4-5f9b-45ff-992b-19074685a0e6	63	911	2012-10-31 02:53:00	2040-03-18 02:53:00	15170	60680	0000-00-00 00:00:00	3	14	0	A	2014-01-21 05:14:00	2014-01-21 05:14:00
