4	1	98	se	W
4	1013	78	se	W
4	1017	87	se	W
4	1039	69	se	Q
4	1068	67	se	W
4	1137	28	se	L
4	1144	41	se	L
4	116	59	se	W
4	1174	71	se	W
4	119	65	se	W
4	1294	74	se	W
4	1461	100	se	W
4	1592	38	se	L
4	1620	98	se	W
4	1751	65	se	W
4	1818	96	se	W
4	1920	52	se	W
4	1975	87	se	W
4	2104	26	se	L
4	2145	67	se	W
4	2271	55	se	W
4	2475	48	se	L
4	2574	79	se	W
4	2670	86	se	W
4	2768	94	se	W
4	2847	100	se	W
4	3	59	se	W
4	3084	88	se	W
4	312	95	se	W
4	3172	23	se	Q
4	3255	83	se	W
4	33	27	se	L
4	3351	84	se	W
4	3518	21	se	L
4	3689	21	se	L
4	3949	47	se	L
4	399	59	se	W
4	4237	99	se	W
4	4264	89	se	W
4	432	41	se	L
4	4340	86	se	W
4	4640	34	se	L
4	4664	33	se	L
4	4712	32	se	L
4	4738	24	se	L
4	4763	26	se	L
4	4815	88	se	W
4	4878	46	se	L
4	5	30	se	L
4	5011	33	se	L
4	531	78	se	W
4	7347	12	se	W
4	2104	12	se	W
3	5375	34	se	L
3	543	48	se	L
3	5636	74	se	W
3	5701	72	se	W
3	5776	27	se	Q
3	5779	78	se	W
3	581	81	se	W
3	5855	54	se	W
3	5885	65	se	W
3	5929	52	se	W
3	5930	99	se	W
3	6	33	se	L
3	6263	99	se	W
3	63053	87	se	W
3	6679	32	se	L
3	7034	72	se	W
3	7105	44	se	L
3	7117	85	se	W
3	71713	46	se	L
3	7225	44	se	L
3	7279	89	se	W
3	7347	96	se	W
3	7901	38	se	L
3	7954	61	se	W
3	8	47	se	L
3	80	88	se	W
3	8224	39	se	L
3	8237	20	se	L
3	83072	40	se	L
2	1	65	se	W
2	1013	62	se	Q
2	1017	88	se	L
2	1039	88	se	L
2	1068	39	se	L
2	1137	46	se	L
2	1144	65	se	W
2	116	77	se	W
2	1174	91	se	W
2	119	80	se	W
2	1294	85	se	W
2	1461	96	se	W
2	1592	67	se	W
2	1620	30	se	L
2	1751	60	se	W
1	1818	96	se	W
1	1920	67	se	W
1	1975	22	se	L
1	2104	92	se	Q
1	2145	89	se	W
1	2271	28	se	L
1	2475	34	se	L
