98,1,4,71,26168.51,3925.2765,2003-03-01 00:00:00
114,1,8,55,27505.48,4125.822,2001-10-11 00:00:00
91,806,8,87,40075.4,6011.31,2010-09-20 00:00:00
7,32,6,73,59086.81,8863.0215,2007-07-22 00:00:00
102,544,6,96,25781.55,3867.2325,2004-05-03 00:00:00
102,451,4,99,57760.15,8664.0225,2002-01-02 00:00:00
65,751,5,73,37030.72,5554.608,2011-06-06 00:00:00
31,915,2,69,83978.85,12596.8275,2004-12-11 00:00:00
39,890,4,83,63983.95,9597.5925,2001-07-18 00:00:00
109,939,8,73,1144.68,171.702,2011-12-05 00:00:00
26,180,8,85,90425.11,13563.7665,2006-08-23 00:00:00
119,25,2,99,70419.84,10562.976,2002-12-10 00:00:00
109,31,1,61,97328.07,14599.2105,2012-11-27 00:00:00
59,249,6,53,72084.6,10812.69,2008-02-20 00:00:00
66,626,3,57,58097.99,8714.6985,2003-12-24 00:00:00
81,381,1,88,21287.54,3193.131,2010-02-04 00:00:00
93,167,8,70,83554.31,12533.1465,2005-12-04 00:00:00
31,245,8,60,56143.71,8421.5565,2002-02-25 00:00:00
73,449,5,79,85111.8,12766.77,2001-10-28 00:00:00
107,613,10,99,39119.55,5867.9325,2004-03-13 00:00:00
49,536,5,100,41651.21,6247.6815,2005-11-10 00:00:00
96,956,2,53,23565.37,3534.8055,2005-12-27 00:00:00
67,332,5,50,8641.92,1296.288,2010-06-13 00:00:00
31,909,9,87,37709.71,5656.4565,2004-11-24 00:00:00
70,213,1,99,2835.2,425.28,2008-10-11 00:00:00
46,606,9,82,46677.41,7001.6115,2009-11-27 00:00:00
101,278,10,77,61385.95,9207.8925,2008-09-04 00:00:00
1,223,6,69,14247.64,2137.146,2003-12-16 00:00:00
123,548,9,69,54036.86,8105.529,2010-09-20 00:00:00
55,10,7,83,89349.91,13402.4865,2001-09-15 00:00:00
34,472,4,92,63899.27,9584.8905,2005-07-15 00:00:00
35,854,6,97,7454.7,1118.205,2004-07-27 00:00:00
47,432,2,82,44306.66,6645.999,2010-05-17 00:00:00
47,111,4,52,94170.67,14125.6005,2009-11-20 00:00:00
123,982,5,84,13945.2,2091.78,2006-11-22 00:00:00
49,365,8,71,80802.12,12120.318,2001-01-12 00:00:00
83,369,2,98,92443.39,13866.5085,2011-01-07 00:00:00
13,544,5,62,74255.88,11138.382,2004-11-11 00:00:00
58,655,6,56,13806.02,2070.903,2009-03-05 00:00:00
52,642,1,100,65230.97,9784.6455,2012-02-09 00:00:00
127,88,5,82,41873.05,6280.9575,2004-06-18 00:00:00
5,598,9,80,2793.68,419.052,2008-03-25 00:00:00
35,225,4,66,17030.86,2554.629,2010-07-22 00:00:00
86,452,5,100,938.9,140.835,2002-09-05 00:00:00
15,791,10,80,74824.14,11223.621,2009-03-20 00:00:00
68,147,8,59,72382.02,10857.303,2005-12-04 00:00:00
43,20,8,96,97345.8,14601.87,2008-11-03 00:00:00
61,877,6,86,964.43,144.6645,2001-08-08 00:00:00
116,113,9,61,32975.61,4946.3415,2008-09-16 00:00:00
45,302,7,100,24064.32,3609.648,2009-05-18 00:00:00
103,980,4,95,26101.44,3915.216,2004-07-16 00:00:00
86,364,1,69,52851.6,7927.74,2006-06-22 00:00:00
121,783,2,63,73117.86,10967.679,2012-04-09 00:00:00
98,720,8,86,87903.05,13185.4575,2012-05-15 00:00:00
114,675,7,98,67753.36,10163.004,2011-04-28 00:00:00
60,708,1,87,22623.06,3393.459,2006-06-18 00:00:00
90,179,1,79,4413.18,661.977,2007-05-28 00:00:00
28,133,5,61,11963.76,1794.564,2010-03-11 00:00:00
81,597,6,86,76491.19,11473.6785,2009-08-24 00:00:00
22,457,6,73,3562.3,534.345,2001-06-11 00:00:00
8,948,10,61,51926.52,7788.978,2003-09-06 00:00:00
40,479,2,50,52246.53,7836.9795,2006-10-19 00:00:00
69,496,5,81,28443.77,4266.5655,2003-03-07 00:00:00
112,751,1,57,11033.29,1654.9935,2010-03-06 00:00:00
111,536,9,50,2978.54,446.781,2012-11-01 00:00:00
87,205,2,74,71346.17,10701.9255,2001-09-03 00:00:00
31,113,7,77,24544.39,3681.6585,2011-05-25 00:00:00
52,638,1,53,55213.71,8282.0565,2001-07-17 00:00:00
69,584,3,70,93644.75,14046.7125,2001-05-04 00:00:00
74,246,2,66,19253.57,2888.0355,2001-08-11 00:00:00
19,19,1,53,88908.5,13336.275,2005-12-13 00:00:00
67,539,10,92,20985.16,3147.774,2008-01-01 00:00:00
23,256,10,84,1232.95,184.9425,2009-12-09 00:00:00
25,298,4,98,51330.33,7699.5495,2002-08-26 00:00:00
98,502,8,75,69697.5,10454.625,2003-10-20 00:00:00
3,372,8,82,66532.89,9979.9335,2010-07-10 00:00:00
70,652,7,73,63519.87,9527.9805,2006-01-08 00:00:00
119,882,9,57,47317.32,7097.598,2006-09-12 00:00:00
128,979,10,51,76373.89,11456.0835,2006-01-12 00:00:00
75,130,5,82,43674.77,6551.2155,2008-11-02 00:00:00
89,131,7,91,6706.55,1005.9825,2007-09-18 00:00:00
70,392,5,66,58986.42,8847.963,2003-12-04 00:00:00
95,439,8,98,74881.64,11232.246,2001-03-04 00:00:00
16,809,10,94,33416.14,5012.421,2004-08-18 00:00:00
13,820,3,54,23494.19,3524.1285,2003-06-28 00:00:00
11,446,8,82,26123.15,3918.4725,2001-03-14 00:00:00
83,789,8,57,78282.6,11742.39,2009-06-07 00:00:00
45,929,10,91,97511.93,14626.7895,2006-01-18 00:00:00
69,990,5,63,50780.18,7617.027,2007-01-16 00:00:00
101,328,6,54,32012.55,4801.8825,2003-02-18 00:00:00
106,243,5,75,74352.12,11152.818,2004-05-17 00:00:00
87,336,8,94,60742.05,9111.3075,2005-07-23 00:00:00
107,867,3,77,84927.04,12739.056,2001-10-14 00:00:00
3,357,10,55,97124.49,14568.6735,2001-05-22 00:00:00
122,221,4,99,11199.19,1679.8785,2003-03-27 00:00:00
