312d8f93-a546-411f-9489-ec14aabaaf10,1,16684,3,4,1
efed23bb-4880-4289-8285-d6c282d6c9b3,2,73840,4,2,7
88043249-32e6-492d-bf46-7e7e0a8dfa73,3,54277,7,1,10
d1699e82-6a6b-46fe-a92f-d1b6010dfb32,4,32403,3,4,7
0f1db845-ad0b-4cf4-aa5b-95d4b705f97c,5,78162,7,3,5
6da15e86-718a-4aab-bb28-44e2d39220d4,6,59825,3,9,1
976feffc-9c7a-4d2b-befb-482743020064,7,44405,8,10,10
47dbceb9-8ba6-4749-8c98-5f70c756660a,8,51848,1,1,1
ce952b8a-8835-4df6-9358-b50bbef5b2f0,9,12618,7,6,10
7b640295-5813-4e07-8e99-54c1e1ae6423,10,24567,10,5,2
b05dbec6-1c37-4289-84b4-4ce4df08278d,11,39639,1,7,2
0ba8be51-d61e-4627-a064-f2f2e1f28936,12,64891,6,9,5
fa4f1925-3f55-437c-afea-aa6bc5cd01c2,13,18275,8,8,2
88127e08-d310-47c0-a2d9-a10cf3731eeb,14,50244,6,4,7
2c9a0413-b6c2-4f77-878d-fdd1c1c8e494,15,15844,1,1,3
1810d290-cdf8-4bde-9027-5fd75af063c3,16,13792,2,2,1
e64615f6-663b-47b9-809d-bd5f82cee8b6,17,63496,2,9,6
4d8267ba-bd8d-4e56-b596-4c2505ef574f,18,70203,2,8,7
8cf4599c-fcf5-437d-9202-c6affec7d144,19,45542,9,1,2
1c233333-49aa-4984-a3d7-13fe652ca8bd,20,34573,9,10,6
74ff78e3-1950-4d99-939f-95745daaab6d,21,48059,6,10,8
500938a8-5afb-4894-9bd1-82ee793ddad3,22,67845,2,9,6
21055325-3241-472f-b781-b2baa2f70104,23,95329,1,9,8
4cff4b0a-ad39-460d-a0d0-feaa5c9f893e,24,1,4,8,5
9cec77eb-2729-45e5-9599-22f846808074,25,85275,5,1,3
d5e5eadd-ecaf-409f-9f26-9cce2cf5eb2e,26,25014,10,9,1
0f94a83d-692f-4196-ad75-66f3e7bd5a58,27,50594,3,3,6
3ff4903e-c02f-494c-be94-2b67d3ed8c50,28,50799,10,7,8
9afc4545-4b7c-4e43-841b-18db45a61039,29,48005,8,8,10
347e72ee-2b89-466c-b1c0-01cb854be0c9,30,85554,3,2,9
079a8100-edc3-473a-b93b-80673aa0a16a,31,21951,6,6,3
b6123238-6eca-490c-b50e-9d02c684abad,32,39603,9,5,3
1ddc7b0e-37d0-4c58-be3f-e322b3a64b1f,33,57303,7,2,3
