2,1
3,1
4,1
5,1
9904,6007
4285,1910
8492,605
3065,6906
9581,4682
5726,4286
3530,8582
3577,7623
8753,7772
4460,8478
8060,429
2056,8497
5398,2252
2576,3817
2965,4756
4166,2065
553,7234
7421,4720
5327,6348
2209,440
5340,2448
7419,5204
799,8280
876,1108
2621,7643
1394,6534
9825,8753
6625,485
8647,6514
7498,4555
5027,5922
1775,2057
3600,7731
1079,2403
3429,4647
1872,5338
613,7672
8502,4592
9834,6483
9609,1036
5634,3133
1322,2482
4304,9731
3939,2775
381,8274
1689,1260
2104,7725
4638,846
688,3057
9495,2711
5175,8383
1784,897
5571,5251
689,6656
9255,2831
1581,6604
4585,4400
8586,6514
7686,679
2264,1297
2013,6770
5711,6181
1610,5953
3087,3883
7485,9654
1456,3813
1448,4120
2656,800
3173,7452
6664,8188
9403,2961
3860,1877
4748,8270
6690,9716
315,4987
1939,8967
5918,508
1008,1044
2602,4264
3196,1156
6061,6814
2889,9207
6621,4152
7716,3791
2586,9074
2465,9953
9853,4291
3425,5417
9660,4629
3449,2758
4979,7640
1258,3142
1169,6925
6955,1463
1532,9595
1289,8159
6858,3725
2822,7130
9015,2774
5057,6110
752,390
354,744
1037,1592
3433,344
9397,4199
5021,2847
8438,5229
188,8807
7091,1605
4,2225
1388,832
9749,8394
2913,9507
5752,1058
6138,6904
7315,8536
6806,2383
6155,9997
1752,5231
1935,8835
2483,9116
4731,2705
9881,7446
3535,7274
2517,8401
9683,8617
4091,1845
1987,4903
8823,8060
338,8361
7878,2679
6497,5639
9225,5183
4128,9500
1259,6943
170,7868
156,4945
4515,8057
1204,2879
787,3140
2106,4056
4523,9304
5330,5231
4116,1477
9079,1915
5827,3041
919,3472
5993,4483
397,136
1159,4824
9612,5285
7063,5981
6257,996
803,8485
5093,1795
515,7985
482,3301
1359,7217
118,2616
1926,2650
6042,3837
1341,7095
5686,6221
753,7762
8799,1128
8315,9995
7707,734
5265,3712
4568,2365
1743,7526
5481,745
3552,3542
7018,7843
1963,5797
2857,2192
3957,9601
418,2331
7184,903
6196,5520
7747,772
2567,7647
8660,3228
6716,7578
1686,524
5455,3812
1425,4386
7509,5902
5134,3148
8485,1134
5555,4280
3472,4560
6739,4722
2811,3338
3398,713
3832,3487
7241,3453
1484,5443
792,2470
1202,6317
887,7810
3132,5907
4429,6955
9373,6936
1339,9327
8655,202
6209,7123
597,8895
6143,7501
9009,6655
5204,1022
4590,5866
6823,7070
2928,6320
76,9112
7546,9788
3346,1252
3036,9256
6134,5816
8459,3657
348,3308
