0dca8472-0998-414c-aae6-1ad2e3148197,1,M,Q,2012-07-25 00:00:00,2013-05-30 00:00:00,30139
6af2bb7b-951f-4da7-921c-d24beceaa21c,1,M,Q,2012-10-25 00:00:00,2013-05-30 00:00:00,12721
7b80127f-8b05-41cc-bd54-9c26baacea2c,1,C,,2013-02-26 00:00:00,\N,37808
85616cae-1e9a-4345-a2d9-c5131dce8bb9,1,M,Q,2012-08-02 00:00:00,2013-05-30 00:00:00,85241
85616cae-1e9a-4345-a2d9-c5131dce8bb9,1,M,Q,2013-02-11 00:00:00,2013-05-30 00:00:00,22067
85d9623f-7986-4c71-89ee-c3b21653dd42,1,M,Q,2012-10-15 00:00:00,2013-05-30 00:00:00,75882
a45741e3-5e08-4000-9d86-eb6decdcb88b,1,M,Q,2012-06-02 00:00:00,2013-05-30 00:00:00,32220
b90cae61-8687-4ad6-8726-eae0bfde005f,1,M,Q,2012-12-30 00:00:00,2013-05-30 00:00:00,39323
cbecd540-9a18-40eb-888e-2db3c61848b7,1,M,Q,2012-05-10 00:00:00,2013-05-30 00:00:00,83107
93af4a2b-9c0f-43aa-b6f6-383445cf6d72,2,M,Q,2012-11-05 00:00:00,2013-08-27 00:00:00,11718
d33c3674-e5e4-4317-ad32-0d344addc7f1,2,M,,2013-01-30 00:00:00,\N,84872
3d2ab725-efb2-4679-8951-338c7591406e,3,M,Q,2012-09-26 00:00:00,2013-04-07 00:00:00,1601
f1a92b4d-36b8-41b5-b9a8-539445193964,3,M,Q,2012-10-09 00:00:00,2013-07-12 00:00:00,55000
fa017e03-9c71-4106-82a1-a5af3a0d5358,3,M,,2012-11-19 00:00:00,\N,40240
af1ee964-483d-4969-ab35-945a682497af,4,M,,2013-01-17 00:00:00,\N,62844
0b5b4d0b-9b9b-4063-8ae0-b1903c9ba085,5,C,,2013-03-06 00:00:00,\N,18887
0058f644-1225-4391-8c2e-5d352ccb921e,6,M,Q,2012-04-29 00:00:00,2013-07-08 00:00:00,54154
8e9a1719-d38a-42c6-a07f-6a6677e0160a,6,M,Q,2013-01-30 00:00:00,2013-12-25 00:00:00,81662
c1ca4217-05bb-40ef-b2af-62ec768cdc2f,6,M,Q,2012-11-26 00:00:00,2013-09-04 00:00:00,6731
c1ca4217-05bb-40ef-b2af-62ec768cdc2f,6,M,Q,2013-03-13 00:00:00,2014-01-18 00:00:00,23697
df270a78-3f1f-4ac5-9fee-4b614cd9ccfb,6,M,Q,2012-07-25 00:00:00,2013-05-14 00:00:00,33666
f3a463cb-cc5d-4ba3-a4f7-11228822aa76,6,M,,2013-02-15 00:00:00,\N,9956
7bf84381-9593-479a-8dd3-af86487135a8,7,M,Q,2012-07-21 00:00:00,2013-07-07 00:00:00,5738
cba4b44a-db2a-4fcc-82d3-67634f731cd9,7,M,,2013-01-19 00:00:00,\N,2480
84bb5272-0954-43b0-821e-abb5e3ab96e9,8,M,Q,2012-06-03 00:00:00,2014-02-05 00:00:00,45193
bfd3c086-9f6b-4c7c-a32d-a8bf34635358,8,M,Q,2012-11-14 00:00:00,2013-10-04 00:00:00,40677
c8e0ea0e-5cae-4993-a102-8babd0d01b67,8,M,,2013-03-17 00:00:00,\N,68250
ddd8b59b-dab6-4886-933f-41a25d1a9fff,8,M,Q,2012-05-17 00:00:00,2013-08-01 00:00:00,77989
d33c3674-e5e4-4317-ad32-0d344addc7f1,9,C,Q,2013-02-28 00:00:00,2013-10-20 00:00:00,30729
ee5b77f1-118e-48f1-8e7d-b234c016d85e,9,C,,2012-12-12 00:00:00,\N,37902
42aa137f-9125-4c1e-a7b6-6bd1e6186189,10,M,,2013-03-07 00:00:00,\N,71291
6a3ac649-04e1-431e-a399-54d91d453f35,10,M,Q,2012-07-25 00:00:00,2014-01-02 00:00:00,40482
