1,2,3,4,8,6,2013-10-02 00:00:00
2,2,7,10,1,1,2013-10-03 00:00:00
3,6,5,6,6,4,2013-10-04 00:00:00
4,3,10,10,4,5,2013-10-05 00:00:00
5,7,9,4,2,9,2013-10-06 00:00:00
6,1,8,3,7,2,2013-10-07 00:00:00
7,6,8,1,5,2,2013-10-08 00:00:00
8,6,3,9,4,7,2013-10-09 00:00:00
9,2,8,7,5,6,2013-10-10 00:00:00
10,10,3,3,4,9,2013-10-11 00:00:00
11,10,6,9,4,5,2013-10-12 00:00:00
12,6,8,10,4,1,2013-10-13 00:00:00
13,6,10,4,5,1,2013-10-14 00:00:00
14,10,3,8,7,5,2013-10-15 00:00:00
15,10,10,1,9,4,2013-10-16 00:00:00
16,8,1,3,8,3,2013-10-17 00:00:00
17,10,2,7,1,5,2013-10-18 00:00:00
18,3,6,1,4,5,2013-10-19 00:00:00
19,3,9,10,3,5,2013-10-20 00:00:00
20,3,5,6,5,6,2013-10-21 00:00:00
21,1,8,8,5,1,2013-10-22 00:00:00
22,10,4,5,6,5,2013-10-23 00:00:00
23,3,5,5,8,5,2013-10-24 00:00:00
24,6,4,5,3,6,2013-10-25 00:00:00
25,9,9,2,2,5,2013-10-26 00:00:00
26,2,7,3,1,1,2013-10-27 00:00:00
27,6,10,5,1,10,2013-10-28 00:00:00
28,1,4,1,7,5,2013-10-29 00:00:00
29,10,1,6,5,4,2013-10-30 00:00:00
30,6,7,1,1,2,2013-10-31 00:00:00
31,7,8,4,2,1,2013-11-01 00:00:00
32,5,2,10,7,8,2013-10-02 00:00:00
33,2,1,4,3,9,2013-10-03 00:00:00
34,1,2,5,6,9,2013-10-04 00:00:00
35,9,6,2,1,5,2013-10-05 00:00:00
36,2,1,7,9,10,2013-10-06 00:00:00
37,1,3,10,3,7,2013-10-07 00:00:00
38,10,1,8,6,10,2013-10-08 00:00:00
39,2,9,6,5,2,2013-10-09 00:00:00
40,8,6,10,4,6,2013-10-10 00:00:00
41,9,10,5,2,5,2013-10-11 00:00:00
42,9,2,8,9,3,2013-10-12 00:00:00
43,1,2,8,1,4,2013-10-13 00:00:00
44,2,4,7,3,1,2013-10-14 00:00:00
45,9,5,6,6,9,2013-10-15 00:00:00
46,7,7,1,10,5,2013-10-16 00:00:00
47,5,3,6,4,1,2013-10-17 00:00:00
48,8,5,10,7,2,2013-10-18 00:00:00
49,9,3,4,5,7,2013-10-19 00:00:00
50,3,6,10,4,4,2013-10-20 00:00:00
51,6,3,5,5,4,2013-10-21 00:00:00
52,7,9,6,5,4,2013-10-22 00:00:00
