1,10000000,131,46,2010-11-16 00:00:00,2010-03-16 00:00:00
2,597726980.2,924,52,2010-09-12 00:00:00,2010-03-16 00:00:00
3,242203167.3,284,38,2010-09-21 00:00:00,2010-12-14 00:00:00
4,308875743.1,168,10,2010-12-07 00:00:00,2010-06-24 00:00:00
5,736404615.3,182,82,2010-01-28 00:00:00,2010-05-28 00:00:00
6,344107816.7,731,36,2010-07-04 00:00:00,2010-06-26 00:00:00
7,308403883.7,703,20,2010-02-02 00:00:00,2010-09-25 00:00:00
8,912398188,695,21,2010-09-03 00:00:00,2010-02-22 00:00:00
9,864508674.8,878,57,2010-05-23 00:00:00,2010-02-13 00:00:00
10,162107019.8,607,8,2010-09-11 00:00:00,2010-12-11 00:00:00
11,122241289.5,151,29,2010-12-17 00:00:00,2010-11-03 00:00:00
12,561343483.1,999,86,2010-04-21 00:00:00,2010-09-28 00:00:00
13,167319510.8,444,71,2010-11-16 00:00:00,2010-02-04 00:00:00
14,35769436.91,523,25,2010-09-04 00:00:00,2010-12-02 00:00:00
15,271863279.4,187,89,2010-06-16 00:00:00,2010-01-01 00:00:00
16,915977962.4,376,30,2010-11-10 00:00:00,2010-02-23 00:00:00
17,768197213.3,656,48,2010-07-09 00:00:00,2010-12-10 00:00:00
18,336885070.2,544,78,2010-09-23 00:00:00,2010-10-11 00:00:00
19,906489180.1,310,98,2010-11-01 00:00:00,2010-03-05 00:00:00
20,513732579.9,253,7,2010-08-23 00:00:00,2010-01-11 00:00:00
21,859230056.7,214,43,2010-02-24 00:00:00,2010-09-21 00:00:00
22,258416781.7,281,66,2010-08-05 00:00:00,2010-01-11 00:00:00
23,945102265.3,726,75,2010-08-25 00:00:00,2010-12-04 00:00:00
24,152325281.6,659,75,2010-10-06 00:00:00,2010-02-27 00:00:00
25,829652419.9,397,29,2010-11-24 00:00:00,2010-09-14 00:00:00
26,422388203,978,98,2010-02-23 00:00:00,2010-04-18 00:00:00
27,678823158.1,884,44,2010-11-11 00:00:00,2010-02-11 00:00:00
28,60116873.91,31,60,2010-02-28 00:00:00,2010-08-19 00:00:00
29,289625540.6,812,35,2010-08-25 00:00:00,2010-10-14 00:00:00
30,259112671.3,418,59,2010-03-09 00:00:00,2010-02-25 00:00:00
31,877910808.1,457,60,2010-05-16 00:00:00,2010-04-02 00:00:00
32,244682958.9,189,56,2010-05-10 00:00:00,2010-06-22 00:00:00
33,931681997.3,438,41,2010-10-01 00:00:00,2010-01-19 00:00:00
34,14910205.61,195,66,2010-03-16 00:00:00,2010-07-18 00:00:00
35,994701574.6,800,85,2010-10-28 00:00:00,2010-12-01 00:00:00
36,334795761,871,8,2010-04-23 00:00:00,2010-12-28 00:00:00
37,496946511.1,939,77,2010-04-24 00:00:00,2010-04-08 00:00:00
38,757086194.5,873,13,2010-12-26 00:00:00,2010-05-24 00:00:00
39,698795038.7,486,98,2010-08-08 00:00:00,2010-06-25 00:00:00
40,163748327.5,522,88,2010-02-01 00:00:00,2010-11-03 00:00:00
41,265034540.5,469,5,2010-05-01 00:00:00,2010-05-15 00:00:00
