0058f644-1225-4391-8c2e-5d352ccb921e,Brainverse,8909,830817.49,2013-09-09 02:05:59,\N,11,4,icon icon-candidate ,9795.35,64,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,D,hr
006d4245-cb95-49c2-8468-4df284069970,Tazzy,9592,968211.55,2013-08-21 02:11:01,\N,11,2,icon icon-candidate ,7956.85,50,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,A,hu
011e7365-18e8-4c23-a9f1-43441c1160d8,Devpulse,8484,897587.62,2014-02-09 11:12:53,\N,6,1,icon icon-candidate ,4115.9,98,Sed vel enim sit amet nunc viverra dapibus.,D,ge
01380bdf-50df-4df3-894d-f95f94d1603d,Fivespan,9569,213723.64,2013-12-01 08:29:41,\N,12,4,icon icon-candidate ,8144.83,34,Integer ac leo.,A,sa
01732875-0ea9-470e-8e16-f9ddb828cc0b,Kazio,9931,247760.59,2013-04-06 16:17:25,\N,9,2,icon icon-candidate ,6191.57,44,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,C,fr
01a6ed31-d7e8-4868-8414-b8a84ed74efe,Zoovu,8836,671639.31,2013-08-23 09:49:26,\N,7,1,icon icon-candidate ,8975.78,35,Nunc rhoncus dui vel sem.,C,mr
01d11f01-a0ee-4433-b031-f8161bf6e5ee,Shuffledrive,9341,535820.13,2013-10-28 21:20:31,\N,6,2,icon icon-candidate ,6446.69,70,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,P,gt
023a4dec-7de4-4746-b887-50e506104db7,Gigaclub,9852,79955.62,2014-01-10 15:34:22,\N,6,1,icon icon-candidate ,9085.68,97,Proin eu mi.,P,no
0262aa65-93e3-44cf-bd9c-c1716fc50a25,Mybuzz,9039,940726.46,2014-02-27 18:11:56,\N,13,3,icon icon-candidate ,8362.69,61,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,A,do
03695b29-012a-4c7f-a536-b4e68d13b42d,Jetpulse,9106,408380.82,2013-11-04 12:33:43,\N,8,1,icon icon-candidate ,4209.03,25,In est risus\t\t t,,
037536c9-1ef7-4556-b497-906f6c1d7174,Bubbletube,9610,399410.83,2013-05-24 15:00:20,\N,11,2,icon icon-candidate ,5465.57,29,Vivamus tortor.,C,at
038f6db1-9bb7-4073-b84e-67e3bcee60f4,Edgetag,8174,128137.16,2013-04-09 18:14:43,\N,5,1,icon icon-candidate ,3467.06,66,Vivamus tortor. Duis mattis egestas metus.,A,ad
