1,Sedan,4 door economy car ,icon-sedan1,10000,75,0,1
2,Sedan,Fuel Economy,icon-sedan2,10000,72,0,1
3,Sedan,A car that’s always there for you,icon-sedan,15000,67,0,1
4,Sedan,Your Friend Every Day,icon-sedan3,15000,50,0,1
5,Sedan,A car that helps you find your own ways,icon-car64,15000,72,0,1
6,Coupe,Be small again, icon-black187,15000,59,0,1
7,Coupe,A smooth ride,icon-commercial8,15000,75,0,1
8,SUV,Classy with a family touch,icon-suv,20000,73,0,1
9,SUV,A car that delivers its promises, icon-car61,20000,55,0,1
10,SUV,Fun behind the wheels,icon-car62,20000,69,0,1
11,SUV,Protection on all sides,icon-car63,20000,63,0,1
12,Convertible,A class of its own,icon-convertible1,30000,71,0,1
13,Convertible,Simply a smart choice,icon-convertible2,30000,65,0,1
14,Sports,As Unique as you are,icon-lowered,40000,53,0,1
15,Sports,Don`t Dream it Drive it., icon-over1,40000,60,0,1
16,Sports,Designed to improve performance,icon-sport8,45000,62,0,1
17,Sports,Above the standards of the world,icon-sport9,45000,56,0,1
18,Sports,Technology you can enjoy,icon-sportive19,45000,67,0,1
19,Sports,The art of performance,icon-sportive21,45000,67,0,1
20,Sports,The beauty of all wheel drive,icon-sports2,45000,73,0,1
21,Sports,The drive of your life,icon-sports25,45000,55,0,1
22,Sports,The future of the automobile,icon-personal7,40000,65,0,1
23,Racing,A car that exceeds the standards, icon-racing,70000,55,0,1
24,Racing,Engineered to move your spirit,icon-racing1,70000,52,0,1
25,Van,Have Kids  Keep your style,icon-van,45000,52,0,1
26,Van,The most reliable member of your family,icon-van11,45000,62,0,1
27,Van,A car for today   tomorrow and forever,icon-van12,45000,67,0,1
28,Van,A family Size Car, icon-van13,45000,65,0,1
29,Truck,Built to be Tough,icon-pick2,45000,56,163.3094951,1
30,Truck,The lion goes from strength to strength,icon-pickup,45000,64,139.2743452,1
31,Delivery,There`s only one,icon-deliver,60000,73,472.8153965,1
32,Delivery,Build for its performance,icon-delivery8,60000,57,117.1168734,1
33,Delivery,You cant ask for anything more,icon-delivery13,60000,51,350.1422258,1
34,Delivery,The power to surprise,icon-small59,60000,67,110.3061985,1
35,Delivery,The power of Dreams,icon-small149,60000,70,473.2298781,1
36,Delivery,Built to protect,icon-small150,60000,68,426.246983,1
37,Trailor,Drive with excitement,icon-trailer3,60000,66,25.90993708,1
38,Tow,The power of understatement,icon-tow,60000,74,245.4627304,1
39,Delivery,There`s no substitute for its power,icon-truck13,60000,72,309.4622104,1
40,Delivery,Power for your control,icon-truck14,60000,57,459.1107977,1
41,Delivery,Its how the smooth take the rough,icon-truck21,60000,66,26.66355755,1
42,Delivery,Feel the difference,icon-truck31,60000,59,221.3324168,1
43,Tractor,All your loads at once,icon-tractor4,60000,70,358.6114294,1
44,Trolley,A vehicle for everyone,icon-trolleybus,60000,67,272.2173176,1
45,Tram,Built to Perform,icon-tram4,60000,68,440.5245763,1
46,Taxi,Drivers Wanted,icon-taxi1,100000,65,126.3692186,1
47,Taxi,We buy more  so you pay less,icon-taxi13,100000,57,75.38465051,1
48,Taxi,Where you can save dollars,icon-taxi8,100000,66,624.8039523,1
49,Hatchback,Think Small,icon-hatchback,10000,51,0,1
50,Hatchback,Unlike Any other, icon-hatchback1,10000,64,0,1
51,Hatchback,A car that cares for your wallet,icon-black186,15000,75,0,1
52,Hatchback,Smart thinking car,icon-car65,15000,74,0,1
53,Hatchback,Go places,icon-car66,15000,59,0,1
54,Hatchback,The future of the cars,icon-car67,15000,56,0,1
55,Hatchback,Moving forward,icon-car69,15000,58,0,1
56,Hatchback,Promises Delivered,icon-car70,15000,73,0,1
57,Hatchback,Protection on all sides,icon-car71,15000,60,0,1
58,Hatchback,New doors opened,icon-car72,15000,60,0,1
59,Motorcycle,Oh what a feeling,icon-all3,20000,56,0,1
60,Motorcycle,Make every mile count,icon-motorcycle2,20000,68,0,1
61,Motorcycle,Live the pleasure,icon-motorcycle3,20000,61,0,1
62,Motorcycle,Put your money on your favorite,icon-motorcycle4,20000,66,0,1
63,Motorcycle,Drive like never before,icon-motorcycle10,20000,70,0,1
64,Motorcycle,Thrilling experience,icon-single17,20000,65,0,1
65,Ambulance,Makes you feel safe,icon-hospital,30000,55,108.5492051,1
66,Delivery,A only one of its kind,icon-big1,50000,60,379.1110861,1
67,Delivery, Beauty is not enough  you need sturdiness too,icon-delivery41,50000,56,365.1977432,1
68,Delivery,A new breakthrough of its kind,icon-frontal19,50000,69,249.0408076,1
69,Delivery,Built for life,icon-truck,50000,59,34.28580278,1
70,Delivery,Go beyond  the limits,icon-truck5,50000,58,141.1732684,1
71,Administrative Building,Building needed to perform everday tasks,icon-public6,950000,75,791.6666667,1
