1,se,2012-12-01 13:12:00,2012-12-26 13:12:00,2012-12-31 13:12:00,97421.52
2,se,2013-01-01 00:00:00,2013-01-26 00:00:00,2013-01-31 00:00:00,97521.52
3,se,2013-02-01 00:00:00,2013-02-26 00:00:00,2013-03-03 00:00:00,97621.52
4,se,2013-03-01 00:00:00,2013-03-26 00:00:00,2013-04-03 00:00:00,97721.52
5,se,2013-04-01 00:00:00,2013-04-26 00:00:00,2013-05-03 00:00:00,97821.52
6,se,2013-05-01 00:00:00,2013-05-26 00:00:00,2013-06-03 00:00:00,97921.52
7,se,2013-06-01 00:00:00,2013-06-26 00:00:00,2013-07-03 00:00:00,98021.52
8,se,2013-07-01 00:00:00,2013-07-26 00:00:00,2013-08-03 00:00:00,98121.52
9,se,2013-08-01 00:00:00,2013-08-26 00:00:00,2013-09-03 00:00:00,98221.52
10,se,2013-09-01 00:00:00,2013-09-26 00:00:00,2013-10-03 00:00:00,98321.52
11,se,2013-10-01 00:00:00,2013-10-26 00:00:00,2013-11-03 00:00:00,98421.52
12,se,2013-11-01 00:00:00,2013-11-26 00:00:00,2013-12-03 00:00:00,98521.52
13,se,2013-12-01 00:00:00,2013-12-26 00:00:00,2014-01-03 00:00:00,98621.52
14,se,2014-01-01 00:00:00,2014-01-26 00:00:00,2014-02-03 00:00:00,98721.52
15,se,2014-02-01 00:00:00,2014-02-26 00:00:00,2014-03-03 00:00:00,98821.52
16,se,2014-03-01 00:00:00,2014-03-26 00:00:00,2014-04-03 00:00:00,98921.52
17,se,2014-04-01 00:00:00,2014-04-26 00:00:00,2014-05-03 00:00:00,99021.52
18,se,2014-05-01 00:00:00,2014-05-26 00:00:00,2014-06-03 00:00:00,99121.52
19,se,2014-06-01 00:00:00,2014-06-26 00:00:00,2014-07-03 00:00:00,99221.52
20,se,2014-07-01 00:00:00,2014-07-26 00:00:00,2014-08-03 00:00:00,99321.52
21,se,2014-08-01 00:00:00,2014-08-26 00:00:00,2014-09-03 00:00:00,99421.52
22,se,2014-09-01 00:00:00,2014-09-26 00:00:00,2014-10-03 00:00:00,99521.52
23,se,2014-10-01 00:00:00,2014-10-26 00:00:00,2014-11-03 00:00:00,99621.52
24,se,2014-11-01 00:00:00,2014-11-26 00:00:00,2014-12-03 00:00:00,99721.52
25,se,2014-12-01 00:00:00,2014-12-26 00:00:00,2015-01-03 00:00:00,99821.52
26,se,2015-01-01 00:00:00,2015-01-26 00:00:00,2017-01-03 00:00:00,99921.52
