2,73840,115
3,54277,350
4,32403,209
5,78162,243
6,59825,481
7,44405,155
11,39639,260
14,50244,394
17,63496,440
18,70203,331
22,67845,112
24,1,312
25,85275,376
26,25014,390
29,48005,271
30,85554,419
32,39603,456
33,57303,427
34,26260,298
35,9788,457
37,68649,113
39,63141,428
45,58121,452
46,97361,116
47,79623,179
48,64240,417
51,70415,406
53,46179,136
55,37702,259
56,14703,264
57,51083,443
60,94810,103
61,22875,192
62,49506,427
63,83396,164
65,85596,428
69,65559,362
72,95660,238
74,35338,289
75,90448,401
77,42309,265
78,89720,207
79,32127,256
80,41020,406
81,22485,424
82,20509,342
83,59353,332
84,12380,331
85,9903,427
87,3796,170
88,86850,385
89,84682,450
90,84267,402
91,33468,158
92,29825,293
96,82398,291
97,46786,242
98,66965,117
99,56527,289
100,14191,371
101,12774,474
102,8104,218
104,6598,115
105,79417,314
107,8240,451
108,66329,225
109,55335,425
110,40644,191
111,57651,366
114,35407,338
116,33290,157
117,82026,242
118,48147,472
120,73804,309
121,90879,417
123,48676,387
124,53104,255
126,66827,258
127,10109,265
129,35182,202
133,19904,243
134,84594,190
135,56148,172
136,49712,322
137,30917,421
138,91064,473
139,26849,458
142,63034,132
144,78722,499
145,72086,469
146,91298,352
148,58741,308
149,77081,116
150,91818,217
151,73042,443
154,29419,182
156,71906,467
157,26747,371
158,81490,407
159,25423,474
160,79162,462
162,96141,293
164,6282,271
165,60243,398
167,43692,231
168,42883,480
169,83286,227
170,28600,326
171,31288,324
174,1,456
177,32536,177
179,51778,439
180,80508,486
182,68650,138
183,40353,464
186,20665,485
188,48090,357
189,49367,437
192,93370,329
194,80128,144
195,76996,188
196,94741,176
197,18451,181
198,64389,262
199,75982,351
201,46080,380
202,39911,200
203,12090,361
207,20657,483
209,15317,387
210,8604,301
211,60752,445
213,14574,376
215,37930,170
216,36320,322
217,27698,186
218,96157,299
219,70483,138
221,4161,465
223,49972,228
224,40466,416
232,58229,258
234,80933,174
237,1,440
238,99797,116
240,87004,138
241,37064,495
242,37498,208
246,71832,322
247,78024,339
248,53490,493
250,95924,221
253,93398,493
254,1,334
255,47823,299
261,7823,313
262,81198,237
263,80717,294
264,6741,466
266,85361,430
267,89667,286
269,42875,355
272,53663,397
273,1,247
275,81371,163
277,14186,460
278,69993,249
279,16157,345
280,85428,121
281,41090,156
282,71360,348
284,52285,495
285,27465,302
286,12066,458
287,87229,240
289,13639,477
292,10819,429
293,9693,452
294,83802,439
296,43452,434
297,51109,133
299,90127,478
303,28951,172
304,49361,420
305,11956,208
306,77540,318
307,70566,172
308,95563,290
309,39886,279
312,65793,122
313,59504,235
314,34664,207
315,22003,476
319,50232,476
321,7664,282
322,17525,389
323,10750,345
325,14899,497
326,80770,311
327,97836,385
328,27070,275
330,98096,274
333,58345,236
335,76234,108
336,67886,110
337,33966,217
342,90223,467
343,39885,232
347,19054,257
348,39100,373
349,17251,465
350,54031,409
352,79421,485
353,90817,103
354,34183,111
355,91252,214
356,3131,496
358,5345,112
359,18119,450
360,1,137
361,1,243
362,1,304
363,1,292
364,1,450
365,1,469
