1,12212,379
2,43508,448
4,46740,153
5,75700,463
6,42068,162
7,6329,327
8,44976,205
9,79154,223
10,77981,376
11,73824,158
12,80108,245
13,19256,483
14,30942,186
15,82412,100
16,1,462
17,8875,343
18,80795,400
19,4374,274
20,43801,199
21,50136,415
22,38944,109
23,6100,405
24,71945,378
25,93907,215
26,39965,396
27,11630,482
28,59717,302
29,13080,420
30,89461,313
31,45529,432
32,2633,152
33,67764,343
34,10988,350
35,20468,268
36,7710,383
37,2942,438
38,69660,324
39,17692,275
40,84639,414
41,69567,479
42,33710,246
43,35587,404
44,44991,149
45,70942,379
46,5354,408
47,64307,289
48,27006,201
50,52101,475
51,47906,206
52,48349,149
53,79621,149
54,9774,281
55,97495,440
56,81198,205
57,95555,356
58,36146,466
59,89802,343
60,55741,110
62,77542,246
63,38862,461
64,14156,324
65,15257,238
66,22221,335
67,55205,146
69,42600,380
70,26054,236
71,56285,400
72,94673,468
73,17630,110
74,62484,370
75,38955,265
76,65183,127
77,65795,192
78,86526,214
79,83770,113
80,4196,242
81,51070,155
82,86594,171
83,92500,258
84,7897,236
85,5230,291
86,32880,194
87,51880,208
88,7090,365
89,21758,392
90,70053,484
91,10525,481
92,63074,139
93,69533,389
94,57361,335
95,61058,254
96,10074,274
97,1,259
98,56928,101
99,15997,138
100,3084,443
101,21175,246
102,40641,285
104,26639,142
105,27129,480
107,30744,440
108,14844,244
109,88196,422
110,81592,361
112,34904,435
113,99387,406
114,65349,471
116,19353,499
117,41880,137
119,36584,201
120,80053,135
121,20037,336
122,22063,483
123,3053,131
125,88885,264
126,32985,279
127,10914,459
128,83611,418
129,21204,326
130,34290,340
131,79813,377
132,73386,308
133,4339,220
135,30564,438
136,14141,291
137,36653,311
138,42273,317
139,69470,456
140,59458,146
141,25523,472
143,96966,483
144,34751,383
146,82276,298
148,36828,450
149,13033,492
151,35167,123
152,81315,183
153,57308,391
154,61485,398
155,31733,280
156,5488,266
157,20165,198
158,55260,325
159,94310,467
160,96584,447
161,3851,431
162,37060,414
163,24065,128
164,32435,191
165,99740,482
166,55514,355
167,19943,146
168,11789,302
169,92640,131
171,44704,331
172,4822,129
173,73661,344
174,27207,495
175,33308,397
176,72596,228
177,53925,116
178,42131,298
179,3776,337
180,40111,383
181,50683,443
182,56368,280
183,32954,433
184,6773,126
185,78980,423
186,7181,148
187,11331,166
188,52298,447
190,92295,249
191,13216,469
192,2676,118
193,71256,352
194,4825,316
195,3576,184
196,75847,269
197,80463,373
198,10312,253
199,46125,242
200,53897,311
201,3714,118
202,83595,493
203,61386,252
204,86926,115
205,27233,132
207,98187,325
208,61740,335
209,38485,165
210,81862,296
212,40651,246
213,1,209
214,49849,178
215,30252,306
216,45830,408
217,75107,404
218,95457,435
219,7519,346
221,11711,209
222,42182,102
223,16992,325
224,54848,348
225,10109,406
226,11278,217
227,39947,499
228,30003,445
229,71627,387
230,50339,252
231,48470,428
232,89976,274
233,67369,284
234,74204,460
235,35367,415
236,18011,146
237,2180,314
238,91968,296
239,55354,286
240,77383,215
241,31206,312
242,95565,463
243,88441,326
244,85679,400
245,25072,336
247,96949,224
248,81134,381
249,14083,211
250,87228,161
251,7721,377
252,46283,225
253,65761,326
256,74267,334
257,87065,362
258,58975,113
259,71140,157
260,85218,429
261,57009,369
262,16832,205
263,13216,265
264,74237,122
265,44634,264
266,4756,210
267,77180,377
268,62023,382
269,82570,310
270,83411,381
271,94008,323
272,7997,349
273,70700,145
274,18911,204
275,95520,272
276,67912,361
277,10084,426
278,47515,394
279,95775,345
280,93716,436
281,30098,326
282,75945,257
283,1,170
284,1644,306
285,1,123
286,89104,241
287,55131,102
288,37741,221
289,1,408
290,8184,138
291,65528,245
292,3290,369
293,16811,467
294,20130,341
295,15005,318
296,65364,272
297,80318,322
298,6711,322
299,75692,114
300,62222,403
301,11154,273
302,73509,353
303,25216,396
304,49802,393
305,96276,236
306,57091,239
307,31540,103
308,59970,172
309,9482,402
310,3168,119
311,10356,348
312,29915,467
313,50778,156
314,44649,164
315,83014,347
316,43851,352
317,26105,270
318,90422,244
319,93874,485
320,59319,457
321,41174,275
322,65653,313
323,98085,230
324,30155,197
325,54876,490
326,14061,221
328,32552,414
329,55999,406
330,97867,250
331,46190,290
332,78179,330
333,83143,304
334,50208,239
335,14964,150
336,59425,243
337,81553,202
338,34737,461
339,57717,404
341,77878,483
342,9485,477
343,35762,276
344,30635,371
345,44911,260
346,25564,270
347,27807,278
348,98131,303
349,55669,415
350,40225,226
351,16758,276
352,29887,329
353,99275,216
354,28379,493
355,67918,276
356,92526,441
357,68149,196
359,13123,125
360,1,369
361,1,119
362,1,189
363,1,489
364,1,174
365,1,105
