1001,4,127,149,2/19/2014,24
1002,4,324,9,8/17/2013,30
1003,4,363,67,9/1/2013,29
1004,4,9,423,12/23/2013,11
1005,4,480,491,1/22/2014,39
1006,4,15,316,12/22/2013,15
1007,4,311,244,5/30/2013,21
1008,4,106,429,4/24/2013,23
1009,4,197,303,11/16/2013,15
1010,4,229,76,4/8/2013,14
1011,4,116,49,3/9/2014,7
1012,4,312,478,11/14/2013,10
1013,4,22,212,1/27/2014,33
1014,4,98,74,10/10/2013,30
1015,4,149,477,10/2/2013,31
1016,4,332,252,11/10/2013,36
1017,4,110,439,8/6/2013,21
1018,4,290,322,1/12/2014,36
1019,4,65,416,9/8/2013,12
1020,4,325,461,10/5/2013,20
1021,4,98,200,1/30/2014,14
1022,4,16,122,3/21/2014,36
1023,4,125,218,2/6/2014,35
1024,4,498,241,8/6/2013,20
1025,4,477,215,12/24/2013,17
1026,4,236,66,8/13/2013,22
1027,4,243,491,4/28/2013,39
1028,4,413,446,4/16/2013,36
1029,4,473,361,5/21/2013,16
1030,4,70,87,1/31/2014,22
1031,4,312,138,11/8/2013,8
1032,4,326,91,3/23/2013,7
1033,4,136,166,11/27/2013,11
1034,4,121,39,9/13/2013,15
1035,4,321,299,6/13/2013,24
1036,4,327,164,12/7/2013,25
1037,4,148,189,3/22/2013,19
1038,4,281,317,1/3/2014,23
1039,4,402,358,6/29/2013,19
1040,4,328,188,8/4/2013,10
1041,4,39,224,6/3/2013,23
1042,4,458,279,8/11/2013,13
1043,4,383,329,3/10/2014,23
1044,4,434,147,5/3/2013,23
1045,4,341,118,7/11/2013,39
1046,4,143,372,7/1/2013,7
1047,4,435,123,8/27/2013,18
1048,4,387,116,10/24/2013,16
1049,4,167,258,5/27/2013,20
1050,4,284,257,10/7/2013,38
1051,4,221,455,11/17/2013,18
1052,4,253,216,3/1/2014,13
1053,4,37,19,10/13/2013,38
1054,4,55,357,6/22/2013,23
1055,4,196,418,12/20/2013,32
1056,4,21,266,8/25/2013,25
1057,4,19,233,7/6/2013,38
1058,4,367,57,10/4/2013,34
