1,42850,121,2014-12-06 02:56:40
2,61371,3,2014-09-03 16:16:13
3,33615,162,2014-06-14 21:24:11
1,54253,251,2014-12-20 01:57:25
2,66131,173,2014-10-21 11:09:19
3,12450,320,2015-04-04 14:20:21
1,67794,266,2014-11-29 13:17:38
2,64936,20,2014-06-18 19:29:36
3,36743,336,2014-09-17 02:09:20
1,74426,57,2014-08-11 16:17:58
2,51119,108,2015-03-06 22:43:15
3,73457,408,2014-08-24 09:13:36
1,31829,432,2014-12-01 08:43:29
2,97270,10,2014-09-05 09:56:38
3,62649,469,2014-07-21 18:25:03
1,71915,354,2014-09-02 10:37:43
2,67454,31,2014-09-02 14:48:26
3,7428,217,2014-06-12 21:36:08
1,7872,315,2014-09-06 14:12:20
2,51075,109,2015-04-02 13:17:04
3,28041,238,2014-10-15 17:26:27
1,61090,402,2014-06-14 01:00:51
2,48072,299,2015-01-29 22:04:09
3,69719,423,2015-01-09 23:53:28
1,35783,125,2014-07-08 09:28:31
2,30943,411,2015-01-03 20:55:11
3,11440,153,2014-10-24 14:44:56
1,39262,409,2014-10-15 15:44:44
2,13648,286,2014-12-13 04:31:50
3,26134,453,2014-08-12 14:44:38
1,91426,492,2014-07-05 04:06:18
2,87998,189,2014-11-29 19:38:13
3,48961,154,2015-03-06 03:18:48
1,21966,252,2014-05-04 01:11:13
2,23610,364,2014-05-12 12:26:28
3,95986,498,2015-02-16 11:03:57
1,953,44,2014-08-20 03:28:17
2,29287,293,2015-04-05 15:52:33
3,83015,112,2015-02-23 23:01:34
1,96449,370,2015-02-16 22:16:52
2,78756,171,2014-12-20 12:49:54
3,31372,475,2014-09-07 13:32:12
1,33951,175,2015-02-25 22:06:46
2,74452,486,2015-03-28 07:52:27
3,78960,311,2014-08-06 14:38:44
1,14824,256,2015-02-24 08:09:02
2,59616,254,2014-06-25 03:36:12
3,44522,33,2014-11-18 11:27:25
1,73593,20,2014-07-21 23:10:21
2,90768,119,2014-07-10 11:49:16
3,76831,246,2014-08-27 02:36:57
1,72043,381,2014-05-08 02:34:37
2,33854,489,2014-11-04 02:07:04
3,99695,456,2014-08-30 07:37:00
1,98653,140,2014-11-24 20:46:45
2,23851,222,2014-10-18 00:26:30
3,21299,228,2014-11-18 09:27:59
1,92821,39,2014-06-01 23:12:12
2,72555,243,2014-05-08 17:30:02
3,15038,339,2014-11-02 22:51:16
1,72978,389,2014-06-01 08:54:21
2,38017,363,2014-09-01 12:01:35
3,57308,357,2015-01-28 13:38:49
1,13436,38,2014-09-08 11:00:43
2,20638,20,2014-05-06 06:40:16
3,14525,129,2014-08-09 07:20:29
1,28291,362,2014-06-29 18:53:54
2,90206,140,2014-08-19 21:19:38
3,25239,276,2014-04-11 14:45:21
1,84523,351,2014-09-30 07:12:59
2,61115,182,2014-05-19 02:36:36
3,22169,165,2014-07-24 19:53:16
1,52169,239,2015-03-02 20:21:11
2,23613,102,2014-07-22 12:06:37
3,73659,178,2014-10-14 01:49:54
1,53214,400,2014-12-06 21:59:32
2,18882,335,2014-06-14 19:43:53
3,94062,148,2014-12-04 23:16:09
1,455,145,2014-06-02 14:44:08
2,9781,491,2014-12-30 23:14:25
3,82664,190,2014-07-19 01:38:11
1,11074,409,2015-01-10 11:38:05
2,32480,40,2014-05-09 11:27:57
