UserId	Cash	Gold	Silver	CreatedAt	UpdatedAt
1	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1013	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1017	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1039	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1068	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1137	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1144	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
116	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1174	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
119	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1294	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1461	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1592	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1620	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1751	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1818	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1920	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1975	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2104	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2145	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2271	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2475	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2574	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2670	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2768	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2847	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3084	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
312	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3172	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3255	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
33	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3351	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3518	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3689	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
3949	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
399	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4237	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4264	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
432	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4340	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4640	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4664	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4712	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4738	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4763	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4815	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
4878	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5011	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
531	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5375	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
543	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5636	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5701	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5776	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5779	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
581	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5855	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5885	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5929	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
5930	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
6	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
6263	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
63053	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
6679	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7034	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7105	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7117	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
71713	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7225	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7279	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7347	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7901	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
7954	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
8	1	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
80	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
8224	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
8237	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
83072	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
8723	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
88311	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
8937	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9007	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9256	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9279	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9288	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9315	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9657	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9775	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9803	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
98304	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9837	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9856	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9899	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9909	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
991	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
992	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
993	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9930	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
994	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
995	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
996	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
997	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
9999	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
