101,Community College of the Air Force
102,Alabama A & M University
103,University of Alabama at Birmingham
104,Amridge University
105,University of Alabama at Huntsville
106,Alabama State University
107,University of Alabama System Office
108,The University of Alabama
109,Central Alabama Community College
110,Athens State University
111,Auburn University at Montgomery
112,Auburn University
113,Birmingham Southern College
114,Chattahoochee Valley Community College
115,Concordia College Selma
116,South University-Montgomery
117,Enterprise State Community College
118,James H Faulkner State Community College
119,Faulkner University
120,Gadsden State Community College
121,New Beginning College of Cosmetology
122,George C Wallace State Community College-Dothan
123,George C Wallace State Community College-Hanceville
124,George C Wallace State Community College-Selma
125,Herzing University-Birmingham
126,Huntingdon College
127,Heritage Christian University
128,J F Drake State Technical College
129,J F Ingram State Technical College
130,Jacksonville State University
131,Jefferson Davis Community College
132,Jefferson State Community College
133,John C Calhoun State Community College
134,Judson College
135,Lawson State Community College-Birmingham Campus
136,University of West Alabama
137,Lurleen B Wallace Community College
138,Marion Military Institute
139,Miles College
140,University of Mobile
141,University of Montevallo
142,Northwest Shoals Community College-Muscle Shoals
143,University of North Alabama
144,Northeast Alabama Community College
145,Oakwood University
146,Alabama Southern Community College
147,Prince Institute of Professional Studies Inc
148,Reid State Technical College
149,Bishop State Community College
150,Samford University
151,Selma University
152,Shelton State Community College
153,Snead State Community College
154,University of South Alabama
155,Spring Hill College
156,Southeastern Bible College
157,Stillman College
158,Talladega College
159,H Councill Trenholm State Technical College
160,Troy University
161,Tuskegee University
162,United States Sports Academy
163,Bevill State Community College
164,University of Alaska Anchorage
165,Alaska Bible College
166,University of Alaska Fairbanks
167,University of Alaska Southeast
168,Alaska Pacific University
169,AVTEC-Alaska's Institute of Technology
170,Charter College-Anchorage
171,Prince William Sound Community College
172,Career Academy
173,University of Alaska System of Higher Education
174,Everest College-Phoenix
175,Collins College
176,Empire Beauty School-Paradise Valley
177,Empire Beauty School-Tucson
178,Thunderbird School of Global Management
179,American Indian College of the Assemblies of God Inc
180,American Institute of Technology
181,Carrington College-Phoenix
182,Carrington College-Mesa
183,Carrington College-Tucson
184,College America-Flagstaff
185,Arizona Academy of Beauty-East
186,Arizona Automotive Institute
187,Brookline College-Phoenix
188,Arizona State University
189,Arizona Western College
190,University of Arizona
191,Southwest University of Visual Arts-Tucson
192,Brillare Hairdressing Academy
193,Central Arizona College
194,Brown Mackie College-Tucson
195,Charles of Italy Beauty College
196,Cochise College
197,Empire Beauty School-Flagstaff
198,Empire Beauty School-Chandler
199,Cortiva Institute-Tucson
200,DeVry University-Arizona
201,Avalon School of Cosmetology
202,Eastern Arizona College
203,Embry-Riddle Aeronautical University-Prescott
204,Frank Lloyd Wright School of Architecture
205,Glendale Community College
206,Grand Canyon University
207,Anthem College-Phoenix
208,International Academy of Hair Design
209,Lamson College
210,Kaplan College-Phoenix
211,Maricopa Beauty College LLC
212,Maricopa Community College System Office
213,GateWay Community College
214,Mesa Community College
215,ITT Technical Institute-Tucson
216,ITT Technical Institute-Tempe
217,Mohave Community College
218,Universal Technical Institute-Motorcycle Mechanics Institute Division
219,Dine College
220,Northern Arizona University
221,Northland Pioneer College
222,Ottawa University-Phoenix
223,Phoenix College
224,Cortiva Institute-Scottsdale
225,University of Phoenix-Phoenix-Hohokam Campus
226,Pima Community College
227,Pima Medical Institute-Tucson
228,Pima Medical Institute-Albuquerque
229,Prescott College
230,Refrigeration School Inc
231,Rio Salado College
