91	192.168.10.100	7	2014-07-10 23:20:19	2014-07-10 02:17:59
92	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
90	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
1	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
3	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
9930	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
312	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
119	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
63	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
1013	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
432	192.168.10.200	5	2014-07-10 23:35:38	2014-07-10 23:14:40
