city,countryId
ad,Aix?s
ad,Aixirivali
ad,Aixirivall
ad,Aixirvall
ad,Aixovall
ad,Andorra
ad,Andorra la Vella
ad,Andorra-Vieille
ad,Andorre
ad,Andorre-la-Vieille
ad,Andorre-Vieille
ad,Ansalonga
ad,Any?s
ad,Arans
ad,Arinsal
ad,Aubiny?
ad,Auvinya
ad,Bi?isarri
ad,Bixessarri
ad,Bixisarri
ad,Canillo
ad,Casas Vila
ad,Certers
ad,Cert?s
ad,Eixirivall
ad,El Pui
ad,Els Bons
ad,El Serrat
ad,Els Plans
ad,El Tarter
ad,El Tremat
ad,El Vilar
ad,Encamp
ad,Engordany
ad,Ercs
ad,Ercz
ad,Erez
ad,Erts
ad,Escaldas
ad,Escaldes
ad,Esc?s
ad,Fontaneda
ad,Juberri
ad,Juverri
ad,La Cortinada
ad,La Costa
ad,L'Aldosa
ad,L'Aldosa
